param_name,param_value,band_4,band_6
r2,0.33891568546768486,0.625951,0.635534
r2,0.3390161879802477,0.626135,0.635653
r2,0.3391166904928105,0.626319,0.635772
r2,0.3392171930053733,0.626503,0.635892
r2,0.3393176955179361,0.626688,0.636012
r2,0.33941819803049894,0.626872,0.636131
r2,0.33951870054306177,0.627057,0.636251
r2,0.33961920305562454,0.627243,0.636372
r2,0.33971970556818737,0.627429,0.636492
r2,0.3398202080807502,0.627616,0.636613
r2,0.339920710593313,0.627803,0.636734
r2,0.3400212131058758,0.62799,0.636856
r2,0.3401217156184386,0.628178,0.636977
r2,0.34022221813100145,0.628367,0.637099
r2,0.3403227206435643,0.628555,0.63722
r2,0.34042322315612705,0.628744,0.637342
r2,0.3405237256686899,0.628934,0.637463
r2,0.3406242281812527,0.629125,0.637585
r2,0.34072473069381554,0.629316,0.637707
r2,0.3408252332063783,0.629507,0.637828
r2,0.34092573571894114,0.629699,0.63795
r2,0.34102623823150396,0.629892,0.638071
r2,0.3411267407440668,0.630084,0.638192
r2,0.34122724325662956,0.630276,0.638313
r2,0.3413277457691924,0.630469,0.638434
r2,0.3414282482817552,0.630661,0.638555
r2,0.34152875079431805,0.630855,0.638675
r2,0.3416292533068808,0.631047,0.638795
r2,0.34172975581944365,0.63124,0.638916
r2,0.3418302583320065,0.631433,0.639035
r2,0.3419307608445693,0.631627,0.639154
r2,0.3420312633571321,0.631819,0.639274
r2,0.3421317658696949,0.632015,0.639393
r2,0.34223226838225773,0.632209,0.639512
r2,0.34233277089482056,0.632404,0.639631
r2,0.34243327340738333,0.632598,0.63975
r2,0.34253377591994616,0.632793,0.639868
r2,0.342634278432509,0.632988,0.639987
r2,0.3427347809450718,0.633183,0.640107
r2,0.3428352834576346,0.633378,0.640225
r2,0.3429357859701974,0.633573,0.640344
r2,0.34303628848276024,0.633769,0.640464
r2,0.34313679099532307,0.633965,0.640583
r2,0.34323729350788584,0.634162,0.640703
r2,0.34333779602044867,0.634358,0.640823
r2,0.3434382985330115,0.634555,0.640942
r2,0.3435388010455743,0.634754,0.641063
r2,0.3436393035581371,0.634953,0.641183
r2,0.3437398060706999,0.635152,0.641304
r2,0.34384030858326275,0.635352,0.641424
r2,0.3439408110958256,0.635552,0.641545
r2,0.34404131360838835,0.635753,0.641666
r2,0.3441418161209512,0.635954,0.641787
r2,0.344242318633514,0.636155,0.641907
r2,0.34434282114607684,0.636357,0.642028
r2,0.3444433236586396,0.636558,0.642148
r2,0.34454382617120244,0.636761,0.642269
r2,0.34464432868376527,0.636962,0.642389
r2,0.3447448311963281,0.637165,0.642509
r2,0.34484533370889087,0.637366,0.642629
r2,0.3449458362214537,0.63757,0.642749
r2,0.3450463387340165,0.637772,0.642868
r2,0.34514684124657935,0.637974,0.642988
r2,0.3452473437591421,0.638179,0.643108
r2,0.34534784627170495,0.638381,0.643227
r2,0.3454483487842678,0.638585,0.643346
