param_name,param_value,band_4,band_6
r2,0.33501552667280576,0.617717,0.626394
r2,0.3351160291853686,0.617893,0.626511
r2,0.3352165316979314,0.618069,0.626628
r2,0.3353170342104942,0.618245,0.626745
r2,0.335417536723057,0.618423,0.626863
r2,0.33551803923561985,0.618599,0.626979
r2,0.3356185417481827,0.618777,0.627097
r2,0.33571904426074545,0.618954,0.627214
r2,0.3358195467733083,0.619132,0.627331
r2,0.3359200492858711,0.61931,0.627447
r2,0.33602055179843393,0.619488,0.627564
r2,0.3361210543109967,0.619666,0.627681
r2,0.33622155682355953,0.619845,0.627798
r2,0.33632205933612236,0.620024,0.627914
r2,0.3364225618486852,0.620202,0.62803
r2,0.33652306436124796,0.620382,0.628147
r2,0.3366235668738108,0.620561,0.628263
r2,0.3367240693863736,0.62074,0.628379
r2,0.33682457189893644,0.62092,0.628495
r2,0.3369250744114992,0.621099,0.628611
r2,0.33702557692406204,0.62128,0.628727
r2,0.33712607943662487,0.621459,0.628843
r2,0.3372265819491877,0.62164,0.628959
r2,0.33732708446175047,0.621821,0.629075
r2,0.3374275869743133,0.622001,0.62919
r2,0.3375280894868761,0.622182,0.629306
r2,0.33762859199943895,0.622364,0.629422
r2,0.3377290945120017,0.622546,0.629538
r2,0.33782959702456455,0.622728,0.629654
r2,0.3379300995371274,0.62291,0.62977
r2,0.3380306020496902,0.623094,0.629886
r2,0.338131104562253,0.623275,0.630002
r2,0.3382316070748158,0.623459,0.630119
r2,0.33833210958737864,0.623643,0.630236
r2,0.33843261209994147,0.623826,0.630353
r2,0.33853311461250424,0.62401,0.63047
r2,0.33863361712506707,0.624193,0.630587
r2,0.3387341196376299,0.624377,0.630706
r2,0.3388346221501927,0.62456,0.630825
r2,0.3389351246627555,0.624744,0.630945
r2,0.3390356271753183,0.624929,0.631064
r2,0.33913612968788115,0.625113,0.631184
r2,0.339236632200444,0.625297,0.631304
r2,0.33933713471300675,0.625482,0.631424
r2,0.3394376372255696,0.625666,0.631544
r2,0.3395381397381324,0.625851,0.631665
r2,0.33963864225069523,0.626037,0.631786
r2,0.339739144763258,0.626223,0.631907
r2,0.33983964727582083,0.62641,0.632028
r2,0.33994014978838366,0.626597,0.63215
r2,0.3400406523009465,0.626784,0.632272
r2,0.34014115481350926,0.626973,0.632394
r2,0.3402416573260721,0.627161,0.632516
r2,0.3403421598386349,0.62735,0.632639
r2,0.34044266235119774,0.627539,0.632761
r2,0.3405431648637605,0.627729,0.632883
r2,0.34064366737632334,0.62792,0.633005
r2,0.3407441698888862,0.628111,0.633127
r2,0.340844672401449,0.628302,0.633249
r2,0.3409451749140118,0.628494,0.633371
r2,0.3410456774265746,0.628686,0.633493
r2,0.34114617993913743,0.628879,0.633615
r2,0.34124668245170026,0.629071,0.633736
r2,0.34134718496426303,0.629263,0.633858
r2,0.34144768747682586,0.629456,0.633979
r2,0.3415481899893887,0.629649,0.6341
r2,0.3416486925019515,0.629841,0.63422
r2,0.3417491950145143,0.630035,0.634341
r2,0.3418496975270771,0.630228,0.634461
r2,0.34195020003963994,0.630421,0.634581
r2,0.34205070255220277,0.630615,0.6347
r2,0.3421512050647656,0.630809,0.63482
r2,0.34225170757732837,0.631003,0.63494
r2,0.3423522100898912,0.631198,0.635059
r2,0.342452712602454,0.631392,0.635179
r2,0.34255321511501685,0.631587,0.635298
r2,0.3426537176275796,0.631782,0.635417
r2,0.34275422014014245,0.631977,0.635537
r2,0.3428547226527053,0.632172,0.635656
r2,0.3429552251652681,0.632367,0.635776
r2,0.3430557276778309,0.632563,0.635896
r2,0.3431562301903937,0.632759,0.636016
r2,0.34325673270295654,0.632955,0.636136
r2,0.34335723521551936,0.633152,0.636257
r2,0.34345773772808214,0.63335,0.636378
r2,0.34355824024064496,0.633548,0.636499
r2,0.3436587427532078,0.633746,0.63662
r2,0.3437592452657706,0.633946,0.636741
r2,0.3438597477783334,0.634146,0.636862
r2,0.3439602502908962,0.634346,0.636984
r2,0.34406075280345905,0.634547,0.637105
r2,0.3441612553160219,0.634747,0.637226
r2,0.34426175782858465,0.634949,0.637348
r2,0.3443622603411475,0.63515,0.637469
r2,0.3444627628537103,0.635352,0.63759
r2,0.34456326536627313,0.635554,0.637711
r2,0.3446637678788359,0.635755,0.637832
r2,0.34476427039139873,0.635958,0.637953
r2,0.34486477290396156,0.63616,0.638073
r2,0.3449652754165244,0.636363,0.638194
r2,0.34506577792908716,0.636565,0.638314
r2,0.34516628044165,0.636768,0.638435
r2,0.3452667829542128,0.63697,0.638555
r2,0.34536728546677564,0.637174,0.638675
r2,0.3454677879793384,0.637377,0.638795
r2,0.34556829049190124,0.63758,0.638915
r2,0.34566879300446407,0.637786,0.639035
r2,0.3457692955170269,0.63799,0.639155
r2,0.34586979802958967,0.638195,0.639274
r2,0.3459703005421525,0.6384,0.639394
r2,0.3460708030547153,0.638605,0.639514
r2,0.34617130556727815,0.638811,0.639634
r2,0.3462718080798409,0.639017,0.639753
r2,0.34637231059240375,0.639223,0.639873
r2,0.3464728131049666,0.63943,0.639993
r2,0.3465733156175294,0.639636,0.640112
r2,0.3466738181300922,0.639843,0.640231
r2,0.346774320642655,0.64005,0.64035
r2,0.34687482315521784,0.640257,0.64047
r2,0.34697532566778067,0.640464,0.640588
r2,0.34707582818034344,0.64067,0.640707
r2,0.34717633069290627,0.640826,0.640879
r2,0.3472768332054691,0.640945,0.641086
r2,0.3473773357180319,0.641064,0.641294
r2,0.3474778382305947,0.641184,0.641502
r2,0.3475783407431575,0.641303,0.641711
r2,0.34767884325572035,0.641423,0.64192
r2,0.3477793457682832,0.641543,0.64213
r2,0.34787984828084595,0.641663,0.64234
r2,0.3479803507934088,0.641783,0.642551
r2,0.3480808533059716,0.641903,0.642761
r2,0.34818135581853443,0.642024,0.642973
r2,0.3482818583310972,0.642144,0.643184
r2,0.34838236084366003,0.642265,0.643396
r2,0.34848286335622286,0.642386,0.643609
r2,0.3485833658687857,0.642506,0.64382
r2,0.34868386838134846,0.642627,0.644033
r2,0.3487843708939113,0.642748,0.644245
r2,0.3488848734064741,0.642869,0.64446
r2,0.34898537591903694,0.64299,0.644671
r2,0.34908587843159977,0.643113,0.644885
r2,0.34918638094416254,0.643235,0.645097
r2,0.34928688345672537,0.643358,0.645311
r2,0.3493873859692882,0.643482,0.645525
r2,0.34948788848185103,0.643605,0.645737
r2,0.3495883909944138,0.643729,0.645952
r2,0.34968889350697663,0.643853,0.646166
r2,0.34978939601953946,0.643978,0.64638
r2,0.3498898985321023,0.644102,0.646596
r2,0.34999040104466506,0.644226,0.646811
r2,0.3500909035572279,0.644351,0.647028
r2,0.3501914060697907,0.644475,0.647245
r2,0.35029190858235354,0.6446,0.647461
r2,0.3503924110949163,0.644725,0.64768
r2,0.35049291360747914,0.644849,0.647899
r2,0.35059341612004197,0.644974,0.648119
r2,0.3506939186326048,0.645098,0.648337
r2,0.35079442114516757,0.645222,0.648556
r2,0.3508949236577304,0.645346,0.648776
r2,0.3509954261702932,0.64547,0.648997
r2,0.35109592868285605,0.645594,0.649217
r2,0.3511964311954188,0.645718,0.64944
r2,0.35129693370798165,0.645841,0.649661
r2,0.3513974362205445,0.645965,0.649883
r2,0.3514979387331073,0.646088,0.650104
r2,0.3515984412456701,0.646211,0.650325
r2,0.3516989437582329,0.646334,0.650547
r2,0.35179944627079573,0.646458,0.650771
r2,0.35189994878335856,0.64658,0.650991
r2,0.35200045129592133,0.646703,0.651213
r2,0.35210095380848416,0.646827,0.651436
r2,0.352201456321047,0.646949,0.651658
r2,0.3523019588336098,0.647072,0.651882
r2,0.3524024613461726,0.647195,0.652105
r2,0.3525029638587354,0.647319,0.65233
r2,0.35260346637129825,0.647442,0.652554
r2,0.3527039688838611,0.647565,0.652778
r2,0.35280447139642385,0.647689,0.653004
r2,0.3529049739089867,0.647812,0.653229
r2,0.3530054764215495,0.647936,0.653456
r2,0.35310597893411233,0.648061,0.653683
r2,0.3532064814466751,0.648184,0.653908
r2,0.35330698395923793,0.648308,0.654136
r2,0.35340748647180076,0.648433,0.654364
r2,0.3535079889843636,0.648557,0.654592
r2,0.35360849149692636,0.648682,0.654822
r2,0.3537089940094892,0.648806,0.65505
r2,0.353809496522052,0.648932,0.655281
r2,0.35390999903461484,0.649056,0.655512
r2,0.3540105015471776,0.649181,0.655744
r2,0.35411100405974044,0.649306,0.655976
r2,0.35421150657230327,0.649429,0.656207
r2,0.3543120090848661,0.649555,0.656441
r2,0.35441251159742887,0.649679,0.656673
r2,0.3545130141099917,0.649803,0.656906
r2,0.3546135166225545,0.649927,0.657139
r2,0.35471401913511735,0.65005,0.657373
r2,0.3548145216476801,0.650174,0.657606
r2,0.35491502416024295,0.650297,0.65784
r2,0.3550155266728058,0.65042,0.658074
