param_name,param_value,band_4,band_6
r2,0.23555626674513336,0.517338,0.52257
r2,0.23565676925769619,0.517438,0.522614
r2,0.23575727177025899,0.517538,0.522659
r2,0.2358577742828218,0.517638,0.522703
r2,0.2359582767953846,0.517739,0.522747
r2,0.23605877930794744,0.517839,0.522792
r2,0.23615928182051024,0.51794,0.522837
r2,0.23625978433307307,0.51804,0.522881
r2,0.23636028684563587,0.518141,0.522926
r2,0.2364607893581987,0.518242,0.522971
r2,0.2365612918707615,0.518343,0.523016
r2,0.23666179438332433,0.518444,0.523061
r2,0.23676229689588713,0.518544,0.523106
r2,0.23686279940844995,0.518645,0.523151
r2,0.23696330192101275,0.518747,0.523197
r2,0.23706380443357558,0.518848,0.523242
r2,0.23716430694613838,0.518949,0.523287
r2,0.2372648094587012,0.51905,0.523332
r2,0.237365311971264,0.519151,0.523378
r2,0.23746581448382684,0.519253,0.523424
r2,0.23756631699638964,0.519354,0.52347
r2,0.23766681950895246,0.519456,0.523516
r2,0.23776732202151526,0.519558,0.523562
r2,0.2378678245340781,0.519659,0.523608
r2,0.2379683270466409,0.519761,0.523654
r2,0.23806882955920372,0.519862,0.523701
r2,0.23816933207176652,0.519964,0.523747
r2,0.23826983458432935,0.520064,0.523794
r2,0.23837033709689215,0.520166,0.52384
r2,0.23847083960945498,0.520267,0.523887
r2,0.23857134212201778,0.520368,0.523933
r2,0.2386718446345806,0.520468,0.52398
r2,0.2387723471471434,0.520569,0.524027
r2,0.23887284965970623,0.520669,0.524073
r2,0.23897335217226903,0.52077,0.52412
r2,0.23907385468483186,0.52087,0.524166
r2,0.23917435719739466,0.52097,0.524213
r2,0.2392748597099575,0.521071,0.52426
r2,0.2393753622225203,0.521171,0.524307
r2,0.23947586473508312,0.521271,0.524354
r2,0.23957636724764592,0.521371,0.524401
r2,0.23967686976020874,0.52147,0.524448
r2,0.23977737227277154,0.52157,0.524496
r2,0.23987787478533437,0.521669,0.524543
r2,0.23997837729789717,0.521769,0.52459
r2,0.24007887981046,0.521869,0.524637
r2,0.2401793823230228,0.521968,0.524684
r2,0.24027988483558563,0.522068,0.524731
r2,0.24038038734814843,0.522167,0.524779
r2,0.24048088986071126,0.522266,0.524826
r2,0.24058139237327406,0.522366,0.524873
r2,0.24068189488583688,0.522465,0.52492
r2,0.24078239739839968,0.522565,0.524968
r2,0.2408828999109625,0.522664,0.525015
r2,0.2409834024235253,0.522764,0.525063
r2,0.24108390493608814,0.522864,0.52511
r2,0.24118440744865094,0.522963,0.525158
r2,0.24128490996121377,0.523063,0.525205
r2,0.24138541247377657,0.523163,0.525253
r2,0.2414859149863394,0.523263,0.525301
r2,0.2415864174989022,0.523364,0.525349
r2,0.24168692001146502,0.523465,0.525398
r2,0.24178742252402782,0.523566,0.525446
r2,0.24188792503659065,0.523667,0.525494
r2,0.24198842754915345,0.523768,0.525543
r2,0.24208893006171628,0.523869,0.525592
r2,0.24218943257427908,0.52397,0.52564
r2,0.2422899350868419,0.524072,0.525689
r2,0.2423904375994047,0.524173,0.525738
r2,0.24249094011196753,0.524274,0.525787
r2,0.24259144262453036,0.524375,0.525836
r2,0.24269194513709316,0.524476,0.525885
r2,0.242792447649656,0.524577,0.525934
r2,0.2428929501622188,0.524679,0.525983
r2,0.24299345267478162,0.524779,0.526032
r2,0.24309395518734442,0.52488,0.526081
r2,0.24319445769990725,0.524981,0.52613
r2,0.24329496021247005,0.525082,0.526179
r2,0.24339546272503287,0.525183,0.526228
r2,0.24349596523759567,0.525283,0.526277
r2,0.2435964677501585,0.525384,0.526326
r2,0.2436969702627213,0.525484,0.526375
r2,0.24379747277528413,0.525585,0.526424
r2,0.24389797528784693,0.525685,0.526473
r2,0.24399847780040976,0.525785,0.526523
r2,0.24409898031297256,0.525886,0.526572
