param_name,param_value,band_5,band_6,band_7
r2,0.17987975951903806,0.534308,0.5628,0.562836
r2,0.1802879227843442,0.534217,0.561596,0.561639
r2,0.18069608604965032,0.534125,0.560402,0.560446
r2,0.18110424931495644,0.534032,0.559215,0.55926
r2,0.18151241258026254,0.533938,0.558033,0.558078
r2,0.18192057584556867,0.533844,0.556858,0.5569
r2,0.1823287391108748,0.533748,0.555688,0.555728
r2,0.18273690237618093,0.533651,0.554522,0.554559
r2,0.18314506564148705,0.533552,0.553361,0.553394
r2,0.18355322890679318,0.533453,0.552204,0.552234
r2,0.18396139217209928,0.533353,0.551052,0.551077
r2,0.1843695554374054,0.533252,0.549905,0.549925
r2,0.18477771870271154,0.53315,0.54876,0.548777
r2,0.18518588196801766,0.533046,0.54762,0.547634
r2,0.1855940452333238,0.532941,0.546483,0.546492
r2,0.18600220849862992,0.532835,0.545351,0.545355
r2,0.18641037176393602,0.532728,0.544222,0.544223
r2,0.18681853502924214,0.53262,0.543094,0.543097
r2,0.18722669829454827,0.532512,0.54197,0.541976
r2,0.1876348615598544,0.532402,0.540851,0.540858
r2,0.18804302482516053,0.532291,0.539735,0.539743
r2,0.18845118809046665,0.532179,0.538625,0.538633
r2,0.18885935135577275,0.532066,0.537518,0.537525
r2,0.18926751462107888,0.531952,0.536414,0.536421
r2,0.189675677886385,0.531836,0.535315,0.53532
r2,0.19008384115169114,0.531719,0.53422,0.534221
r2,0.19049200441699726,0.531601,0.533127,0.533129
r2,0.1909001676823034,0.531482,0.532035,0.532041
r2,0.1913083309476095,0.530945,0.530956,0.531361
r2,0.19171649421291562,0.52986,0.529876,0.531239
r2,0.19212465747822174,0.528777,0.528799,0.531116
r2,0.19253282074352787,0.527697,0.527726,0.530991
r2,0.192940984008834,0.526621,0.526656,0.530865
r2,0.19334914727414013,0.52555,0.525591,0.530737
r2,0.19375731053944623,0.524488,0.52453,0.530607
r2,0.19416547380475235,0.52343,0.523475,0.530474
r2,0.19457363707005848,0.522379,0.522424,0.53034
r2,0.1949818003353646,0.521332,0.521376,0.530204
r2,0.19538996360067074,0.52029,0.520333,0.530066
r2,0.19579812686597686,0.519252,0.519292,0.529926
r2,0.196206290131283,0.518218,0.518256,0.529784
r2,0.1966144533965891,0.517188,0.517223,0.52964
r2,0.19702261666189522,0.516161,0.516194,0.529494
r2,0.19743077992720134,0.515138,0.515167,0.529346
r2,0.19783894319250747,0.514119,0.514145,0.529197
r2,0.1982471064578136,0.513103,0.513125,0.529045
r2,0.1986552697231197,0.51209,0.512109,0.528892
r2,0.19906343298842583,0.51108,0.511096,0.528736
r2,0.19947159625373195,0.510073,0.510085,0.528579
r2,0.19987975951903808,0.509069,0.509079,0.52842
