param_name,param_value,band_4,band_6
r2,0.36320517708234507,0.734497,0.753693
r2,0.3633056795949079,0.73476,0.753775
r2,0.3634061821074707,0.735026,0.753858
r2,0.3635066846200335,0.73529,0.753941
r2,0.3636071871325963,0.735555,0.754024
r2,0.36370768964515915,0.735822,0.754107
r2,0.363808192157722,0.736088,0.754189
r2,0.36390869467028475,0.736355,0.754272
r2,0.3640091971828476,0.736622,0.754354
r2,0.3641096996954104,0.736891,0.754437
r2,0.36421020220797323,0.73716,0.754519
r2,0.364310704720536,0.737429,0.754601
r2,0.36441120723309883,0.7377,0.754683
r2,0.36451170974566166,0.73797,0.754765
r2,0.3646122122582245,0.738241,0.754847
r2,0.36471271477078726,0.738513,0.754929
r2,0.3648132172833501,0.738784,0.75501
r2,0.3649137197959129,0.739057,0.755092
r2,0.36501422230847574,0.739329,0.755173
r2,0.3651147248210385,0.739601,0.755255
r2,0.36521522733360134,0.739873,0.755335
r2,0.36531572984616417,0.740145,0.755416
r2,0.365416232358727,0.740419,0.755498
r2,0.3655167348712898,0.74069,0.755578
r2,0.3656172373838526,0.740963,0.755658
r2,0.36571773989641543,0.741236,0.755739
r2,0.36581824240897826,0.74151,0.755819
r2,0.36591874492154103,0.741784,0.7559
r2,0.36601924743410386,0.742059,0.75598
r2,0.3661197499466667,0.742335,0.756061
r2,0.3662202524592295,0.742611,0.756142
r2,0.3663207549717923,0.742888,0.756222
r2,0.3664212574843551,0.743166,0.756303
r2,0.36652175999691794,0.743443,0.756383
r2,0.36662226250948077,0.743722,0.756464
r2,0.36672276502204354,0.744001,0.756545
r2,0.36682326753460637,0.74428,0.756626
r2,0.3669237700471692,0.74456,0.756707
r2,0.367024272559732,0.74484,0.756788
r2,0.3671247750722948,0.745118,0.756868
r2,0.3672252775848576,0.745401,0.756949
r2,0.36732578009742045,0.745683,0.75703
r2,0.3674262826099833,0.745964,0.757111
r2,0.36752678512254605,0.746247,0.757192
r2,0.3676272876351089,0.746528,0.757273
r2,0.3677277901476717,0.746811,0.757353
r2,0.36782829266023453,0.747094,0.757434
r2,0.3679287951727973,0.747378,0.757515
r2,0.36802929768536013,0.747662,0.757596
r2,0.36812980019792296,0.747947,0.757677
r2,0.3682303027104858,0.748232,0.757758
r2,0.36833080522304856,0.748518,0.757839
r2,0.3684313077356114,0.748805,0.75792
r2,0.3685318102481742,0.749091,0.758
r2,0.36863231276073705,0.749378,0.758081
r2,0.3687328152732998,0.749666,0.758162
r2,0.36883331778586265,0.749952,0.758243
r2,0.3689338202984255,0.750242,0.758324
r2,0.3690343228109883,0.75053,0.758405
r2,0.3691348253235511,0.75082,0.758486
r2,0.3692353278361139,0.751109,0.758567
r2,0.36933583034867673,0.751399,0.758648
r2,0.36943633286123956,0.751689,0.758729
r2,0.36953683537380233,0.75198,0.75881
r2,0.36963733788636516,0.752271,0.758891
r2,0.369737840398928,0.752563,0.758972
r2,0.3698383429114908,0.752854,0.759054
r2,0.36993884542405364,0.753144,0.759135
r2,0.3700393479366164,0.753435,0.759218
r2,0.37013985044917924,0.753726,0.7593
r2,0.37024035296174207,0.754019,0.759383
r2,0.3703408554743049,0.754311,0.759465
r2,0.37044135798686767,0.754607,0.759549
r2,0.3705418604994305,0.754899,0.759632
r2,0.3706423630119933,0.755194,0.759715
r2,0.37074286552455615,0.755488,0.759798
r2,0.3708433680371189,0.755786,0.759882
r2,0.37094387054968175,0.756084,0.759965
r2,0.3710443730622446,0.756383,0.760049
r2,0.3711448755748074,0.756681,0.760133
r2,0.3712453780873702,0.756981,0.760216
r2,0.371345880599933,0.757281,0.7603
r2,0.37144638311249584,0.757579,0.760384
r2,0.37154688562505866,0.757881,0.760468
r2,0.37164738813762144,0.758183,0.760552
r2,0.37174789065018427,0.758485,0.760635
r2,0.3718483931627471,0.758788,0.760719
r2,0.3719488956753099,0.759092,0.760803
r2,0.3720493981878727,0.759396,0.760887
r2,0.3721499007004355,0.759701,0.760971
r2,0.37225040321299835,0.760005,0.761054
r2,0.3723509057255612,0.76031,0.761138
r2,0.37245140823812395,0.760616,0.761222
r2,0.3725519107506868,0.760922,0.761306
r2,0.3726524132632496,0.761227,0.76139
r2,0.37275291577581243,0.761472,0.761535
r2,0.3728534182883752,0.761556,0.761843
r2,0.37295392080093803,0.76164,0.762152
r2,0.37305442331350086,0.761724,0.762464
r2,0.3731549258260637,0.761808,0.762774
r2,0.37325542833862646,0.761892,0.763087
r2,0.3733559308511893,0.761976,0.7634
r2,0.3734564333637521,0.76206,0.763714
r2,0.37355693587631494,0.762144,0.764026
r2,0.3736574383888777,0.762228,0.764343
r2,0.37375794090144054,0.762312,0.764659
r2,0.37385844341400337,0.762396,0.764974
r2,0.3739589459265662,0.76248,0.765292
r2,0.37405944843912897,0.762564,0.765607
r2,0.3741599509516918,0.762647,0.765925
r2,0.3742604534642546,0.762731,0.766244
r2,0.37436095597681746,0.762815,0.766563
r2,0.37446145848938023,0.762898,0.766882
r2,0.37456196100194306,0.762981,0.767202
r2,0.3746624635145059,0.763064,0.767523
r2,0.3747629660270687,0.763147,0.767844
r2,0.3748634685396315,0.763231,0.768167
r2,0.3749639710521943,0.763314,0.768489
r2,0.37506447356475714,0.763397,0.768812
r2,0.37516497607731997,0.76348,0.769134
r2,0.37526547858988274,0.763562,0.769457
r2,0.37536598110244557,0.763646,0.769781
r2,0.3754664836150084,0.763729,0.770104
r2,0.3755669861275712,0.763811,0.770428
r2,0.375667488640134,0.763894,0.770753
r2,0.3757679911526968,0.763977,0.771076
r2,0.37586849366525965,0.764061,0.771402
r2,0.3759689961778225,0.764144,0.771727
r2,0.37606949869038525,0.764227,0.772055
r2,0.3761700012029481,0.76431,0.772382
r2,0.3762705037155109,0.764394,0.77271
r2,0.37637100622807373,0.764477,0.77304
r2,0.3764715087406365,0.764561,0.773371
r2,0.37657201125319933,0.764645,0.773702
r2,0.37667251376576216,0.764729,0.774034
r2,0.376773016278325,0.764813,0.774367
r2,0.3768735187908878,0.764897,0.7747
r2,0.3769740213034506,0.764982,0.775034
r2,0.3770745238160134,0.765066,0.775369
r2,0.37717502632857625,0.76515,0.775704
r2,0.377275528841139,0.765235,0.77604
r2,0.37737603135370185,0.765319,0.776376
r2,0.3774765338662647,0.765403,0.776712
r2,0.3775770363788275,0.765488,0.777049
r2,0.37767753889139033,0.765572,0.777387
r2,0.3777780414039531,0.765657,0.777724
r2,0.37787854391651593,0.765741,0.778062
r2,0.37797904642907876,0.765825,0.7784
r2,0.3780795489416416,0.76591,0.77874
r2,0.37818005145420436,0.765995,0.77908
r2,0.3782805539667672,0.766079,0.77942
r2,0.37838105647933,0.766164,0.779761
r2,0.37848155899189284,0.766249,0.780103
r2,0.3785820615044556,0.766333,0.780446
r2,0.37868256401701844,0.766418,0.780789
r2,0.37878306652958127,0.766503,0.781132
r2,0.3788835690421441,0.766588,0.781476
r2,0.37898407155470687,0.766673,0.781821
r2,0.3790845740672697,0.766758,0.782166
r2,0.3791850765798325,0.766843,0.782511
r2,0.37928557909239535,0.766928,0.782859
r2,0.3793860816049581,0.767014,0.783206
r2,0.37948658411752095,0.767099,0.783553
r2,0.3795870866300838,0.767184,0.783901
r2,0.3796875891426466,0.76727,0.78425
r2,0.3797880916552094,0.767355,0.784598
r2,0.3798885941677722,0.767441,0.784948
r2,0.37998909668033504,0.767527,0.785299
r2,0.38008959919289786,0.767613,0.785649
r2,0.38019010170546064,0.767699,0.786001
