param_name,param_value,band_2,band_3,band_4
r2,0.0864929859719439,0.431834,0.431834,0.44382
r2,0.08690114923725002,0.431804,0.431805,0.443169
r2,0.08730931250255614,0.431774,0.431774,0.442523
r2,0.08771747576786226,0.431743,0.431743,0.441882
r2,0.08812563903316839,0.431711,0.431711,0.441247
r2,0.0885338022984745,0.431679,0.431679,0.440613
r2,0.08894196556378063,0.431646,0.431646,0.439984
r2,0.08935012882908674,0.431612,0.431612,0.439358
r2,0.08975829209439287,0.431578,0.431579,0.438735
r2,0.090166455359699,0.431543,0.431544,0.438115
r2,0.09057461862500511,0.431508,0.431509,0.437498
r2,0.09098278189031124,0.431472,0.431474,0.436884
r2,0.09139094515561737,0.431435,0.431438,0.436273
r2,0.09179910842092348,0.431398,0.431402,0.435664
r2,0.09220727168622961,0.431361,0.431365,0.435058
r2,0.09261543495153574,0.431323,0.431327,0.434455
r2,0.09302359821684185,0.431285,0.431289,0.433855
r2,0.09343176148214798,0.431246,0.431251,0.433257
r2,0.09383992474745409,0.431207,0.431212,0.432664
r2,0.09424808801276022,0.431167,0.431173,0.432073
r2,0.09465625127806634,0.431127,0.431132,0.431487
r2,0.09506441454337246,0.430903,0.431086,0.431092
r2,0.09547257780867859,0.430322,0.431045,0.431051
r2,0.0958807410739847,0.429744,0.431004,0.431009
r2,0.09628890433929083,0.429168,0.430962,0.430967
r2,0.09669706760459695,0.428596,0.430919,0.430924
r2,0.09710523086990308,0.428025,0.430876,0.430881
r2,0.0975133941352092,0.427458,0.430833,0.430837
r2,0.09792155740051532,0.426893,0.430789,0.430793
r2,0.09832972066582144,0.42633,0.430745,0.430748
r2,0.09873788393112756,0.42577,0.4307,0.430703
r2,0.09914604719643369,0.425212,0.430655,0.430657
r2,0.0995542104617398,0.424657,0.430609,0.43061
r2,0.09996237372704593,0.424106,0.430563,0.430564
r2,0.10037053699235204,0.423558,0.430515,0.430516
r2,0.10077870025765817,0.423017,0.430466,0.430467
r2,0.1011868635229643,0.422481,0.430416,0.430417
r2,0.10159502678827041,0.421948,0.430365,0.430366
r2,0.10200319005357654,0.421418,0.430314,0.430315
r2,0.10241135331888267,0.420892,0.430261,0.430263
r2,0.10281951658418878,0.420369,0.430208,0.43021
r2,0.10322767984949491,0.419848,0.430154,0.430157
r2,0.10363584311480104,0.419332,0.430099,0.430103
r2,0.10404400638010715,0.418818,0.430044,0.430048
r2,0.10445216964541328,0.418307,0.429988,0.429992
r2,0.10486033291071939,0.417799,0.429931,0.429936
r2,0.10526849617602552,0.417293,0.429873,0.429879
r2,0.10567665944133164,0.41679,0.429815,0.429821
r2,0.10608482270663777,0.41629,0.429756,0.429763
r2,0.10649298597194388,0.415792,0.429696,0.429704
