param_name,param_value,band_3,band_5
r2,0.2251703406813627,0.451117,0.46997
r2,0.22557850394666884,0.451102,0.469167
r2,0.22598666721197497,0.451086,0.468367
r2,0.2263948304772811,0.451071,0.467568
r2,0.2268029937425872,0.451056,0.466771
r2,0.22721115700789332,0.45104,0.465976
r2,0.22761932027319945,0.451025,0.465183
r2,0.22802748353850558,0.451009,0.464392
r2,0.2284356468038117,0.450994,0.463601
r2,0.22884381006911783,0.450979,0.462813
r2,0.22925197333442393,0.450963,0.462027
r2,0.22966013659973006,0.450948,0.461241
r2,0.23006829986503619,0.450933,0.460458
r2,0.2304764631303423,0.450917,0.459675
r2,0.23088462639564844,0.450902,0.458894
r2,0.23129278966095457,0.450886,0.458117
r2,0.23170095292626067,0.45087,0.457345
r2,0.2321091161915668,0.450854,0.456577
r2,0.23251727945687292,0.450837,0.455811
r2,0.23292544272217905,0.450821,0.455047
r2,0.23333360598748518,0.450804,0.454287
r2,0.2337417692527913,0.450786,0.453527
r2,0.2341499325180974,0.450769,0.45277
r2,0.23455809578340353,0.450751,0.452015
r2,0.23496625904870966,0.450734,0.451262
r2,0.23537442231401579,0.450505,0.450717
r2,0.2357825855793219,0.449757,0.450698
r2,0.23619074884462804,0.449011,0.450681
r2,0.23659891210993414,0.448268,0.450663
r2,0.23700707537524027,0.447525,0.450645
r2,0.2374152386405464,0.446786,0.450627
r2,0.23782340190585252,0.446048,0.450609
r2,0.23823156517115865,0.445312,0.450591
r2,0.23863972843646478,0.444579,0.450572
r2,0.23904789170177088,0.443848,0.450554
r2,0.239456054967077,0.443118,0.450536
r2,0.23986421823238313,0.442391,0.450517
r2,0.24027238149768926,0.441666,0.450498
r2,0.24068054476299539,0.440943,0.450479
r2,0.2410887080283015,0.440222,0.45046
r2,0.24149687129360764,0.439503,0.450441
r2,0.24190503455891374,0.438786,0.450422
r2,0.24231319782421987,0.43807,0.450402
r2,0.242721361089526,0.437358,0.450383
r2,0.24312952435483212,0.436647,0.450363
r2,0.24353768762013825,0.435938,0.450343
r2,0.24394585088544435,0.435231,0.450323
r2,0.24435401415075048,0.434526,0.450303
r2,0.2447621774160566,0.433822,0.450281
r2,0.24517034068136273,0.433121,0.450259
