param_name,param_value,band_8,band_10
r2,0.29086765967221495,0.658107,0.661594
r2,0.29121248725842186,0.658405,0.661644
r2,0.29155731484462877,0.6587,0.661692
r2,0.2919021424308356,0.65907,0.66176
r2,0.29224697001704253,0.659369,0.661809
r2,0.29259179760324944,0.659697,0.661866
r2,0.29293662518945635,0.66,0.661916
r2,0.29328145277566325,0.66031,0.661969
r2,0.2936262803618701,0.660657,0.662035
r2,0.293971107948077,0.660963,0.662085
r2,0.2943159355342839,0.661251,0.662132
r2,0.29466076312049083,0.661597,0.662191
r2,0.29500559070669774,0.661917,0.662277
r2,0.2953504182929046,0.662215,0.662333
r2,0.2956952458791115,0.662348,0.662552
r2,0.2960400734653184,0.662403,0.662858
r2,0.2963849010515253,0.662464,0.663185
r2,0.29672972863773217,0.66255,0.663563
r2,0.2970745562239391,0.662599,0.663851
r2,0.297419383810146,0.662649,0.66418
r2,0.2977642113963529,0.662699,0.6645
r2,0.2981090389825598,0.662751,0.664828
r2,0.29845386656876666,0.662809,0.665176
r2,0.29879869415497357,0.662863,0.665483
r2,0.2991435217411805,0.662913,0.665818
r2,0.2994883493273874,0.662965,0.666164
r2,0.2998331769135943,0.663017,0.666516
r2,0.30017800449980114,0.663071,0.666855
r2,0.30052283208600805,0.663124,0.667185
r2,0.30086765967221496,0.663193,0.667582
