param_name,param_value,band_2,band_3,band_4
r2,0.0804809619238477,0.439895,0.439924,0.454227
r2,0.08088912518915382,0.43987,0.439899,0.453524
r2,0.08129728845445994,0.439846,0.439874,0.452825
r2,0.08170545171976606,0.43982,0.439849,0.452128
r2,0.08211361498507219,0.439795,0.439823,0.451433
r2,0.0825217782503783,0.439769,0.439797,0.450742
r2,0.08292994151568443,0.439742,0.439771,0.450053
r2,0.08333810478099055,0.439716,0.439744,0.449367
r2,0.08374626804629667,0.439689,0.439718,0.448683
r2,0.0841544313116028,0.439661,0.43969,0.448002
r2,0.08456259457690891,0.439633,0.439663,0.447323
r2,0.08497075784221504,0.439605,0.439635,0.446646
r2,0.08537892110752117,0.439577,0.439607,0.445972
r2,0.08578708437282728,0.439548,0.439578,0.4453
r2,0.08619524763813341,0.439519,0.43955,0.444631
r2,0.08660341090343954,0.439489,0.439521,0.443964
r2,0.08701157416874565,0.439458,0.43949,0.443304
r2,0.08741973743405178,0.439427,0.439459,0.44265
r2,0.08782790069935789,0.439395,0.439427,0.442001
r2,0.08823606396466402,0.439363,0.439395,0.441356
r2,0.08864422722997015,0.43933,0.439361,0.440715
r2,0.08905239049527626,0.439296,0.439327,0.440077
r2,0.08946055376058239,0.439262,0.439293,0.439443
r2,0.0898687170258885,0.438812,0.439228,0.439258
r2,0.09027688029119463,0.438185,0.439193,0.439222
r2,0.09068504355650076,0.43756,0.439157,0.439186
r2,0.09109320682180688,0.43694,0.439121,0.43915
r2,0.091501370087113,0.436321,0.439084,0.439113
r2,0.09190953335241912,0.435706,0.439047,0.439075
r2,0.09231769661772524,0.435092,0.439009,0.439037
r2,0.09272585988303136,0.434483,0.438971,0.438998
r2,0.09313402314833749,0.433876,0.438932,0.438959
r2,0.0935421864136436,0.433273,0.438893,0.438919
r2,0.09395034967894973,0.432674,0.438853,0.438879
r2,0.09435851294425585,0.432078,0.438813,0.438838
r2,0.09476667620956197,0.431486,0.438772,0.438797
r2,0.0951748394748681,0.430897,0.43873,0.438756
r2,0.09558300274017421,0.430311,0.438688,0.438714
r2,0.09599116600548034,0.429727,0.438646,0.438671
r2,0.09639932927078647,0.429147,0.438602,0.438628
r2,0.09680749253609258,0.42857,0.438559,0.438585
r2,0.09721565580139871,0.427995,0.438515,0.438541
r2,0.09762381906670484,0.427423,0.43847,0.438496
r2,0.09803198233201095,0.426854,0.438424,0.438452
r2,0.09844014559731708,0.426287,0.438379,0.438406
r2,0.09884830886262319,0.425723,0.438332,0.43836
r2,0.09925647212792932,0.425161,0.438285,0.438314
r2,0.09966463539323545,0.424602,0.438238,0.438268
r2,0.10007279865854157,0.424046,0.43819,0.43822
r2,0.10048096192384769,0.423498,0.438141,0.438171
