param_name,param_value,band_5,band_6,band_7
r2,0.19390781563126253,0.505247,0.523432,0.523475
r2,0.19431597889656865,0.505136,0.522381,0.522425
r2,0.19472414216187478,0.505024,0.521336,0.521379
r2,0.1951323054271809,0.504911,0.520295,0.520336
r2,0.195540468692487,0.504796,0.519258,0.519298
r2,0.19594863195779313,0.50468,0.518225,0.518262
r2,0.19635679522309926,0.504562,0.517196,0.517231
r2,0.1967649584884054,0.504443,0.51617,0.516203
r2,0.19717312175371152,0.504323,0.51515,0.515179
r2,0.19758128501901764,0.504201,0.514131,0.514157
r2,0.19798944828432374,0.504078,0.513117,0.513139
r2,0.19839761154962987,0.503954,0.512105,0.512124
r2,0.198805774814936,0.503828,0.511097,0.511112
r2,0.19921393808024213,0.5037,0.510091,0.510104
r2,0.19962210134554825,0.503572,0.509089,0.509098
r2,0.20003026461085438,0.503441,0.50809,0.508096
r2,0.20043842787616048,0.50331,0.507094,0.507098
r2,0.2008465911414666,0.503178,0.506101,0.506104
r2,0.20125475440677273,0.503044,0.505111,0.505113
r2,0.20166291767207886,0.502908,0.504123,0.504126
r2,0.202071080937385,0.502771,0.503139,0.503142
r2,0.20247924420269112,0.502157,0.502161,0.502633
r2,0.20288740746799722,0.501178,0.501183,0.502493
r2,0.20329557073330334,0.500201,0.500208,0.502352
r2,0.20370373399860947,0.499228,0.499237,0.502209
r2,0.2041118972639156,0.498258,0.498269,0.502064
r2,0.20452006052922173,0.497289,0.497303,0.501918
r2,0.20492822379452785,0.496322,0.496341,0.501771
r2,0.20533638705983395,0.495359,0.495382,0.501621
r2,0.20574455032514008,0.494399,0.494426,0.50147
r2,0.2061527135904462,0.49344,0.493473,0.501317
r2,0.20656087685575233,0.492483,0.492523,0.501163
r2,0.20696904012105846,0.491535,0.491579,0.501005
r2,0.2073772033863646,0.490592,0.490636,0.500846
r2,0.2077853666516707,0.489654,0.489698,0.500684
r2,0.20819352991697682,0.488719,0.488762,0.500519
r2,0.20860169318228294,0.487788,0.487831,0.500353
r2,0.20900985644758907,0.486861,0.486902,0.500185
r2,0.2094180197128952,0.485937,0.485975,0.500014
r2,0.20982618297820133,0.485016,0.485053,0.499841
r2,0.21023434624350745,0.484099,0.484133,0.499666
r2,0.21064250950881355,0.483183,0.483215,0.499488
r2,0.21105067277411968,0.482271,0.4823,0.499309
r2,0.2114588360394258,0.481362,0.481388,0.499127
r2,0.21186699930473193,0.480456,0.48048,0.498943
r2,0.21227516257003806,0.479552,0.479573,0.498757
r2,0.21268332583534416,0.478651,0.478669,0.498569
r2,0.2130914891006503,0.477751,0.477768,0.498378
r2,0.21349965236595642,0.476855,0.47687,0.498185
r2,0.21390781563126254,0.475962,0.475975,0.49799
