param_name,param_value,band_2,band_3,band_4
r2,0.09130260521042084,0.424149,0.424178,0.436053
r2,0.09171076847572697,0.424114,0.424142,0.435454
r2,0.09211893174103308,0.424077,0.424105,0.434857
r2,0.09252709500633921,0.424041,0.424068,0.434263
r2,0.09293525827164534,0.424003,0.42403,0.433672
r2,0.09334342153695145,0.423966,0.423992,0.433082
r2,0.09375158480225758,0.423928,0.423954,0.432497
r2,0.09415974806756369,0.423889,0.423915,0.431915
r2,0.09456791133286982,0.42385,0.423875,0.431336
r2,0.09497607459817595,0.42381,0.423835,0.43076
r2,0.09538423786348206,0.423769,0.423795,0.430187
r2,0.09579240112878819,0.423728,0.423754,0.429617
r2,0.09620056439409432,0.423687,0.423713,0.429048
r2,0.09660872765940043,0.423645,0.423671,0.428483
r2,0.09701689092470656,0.423603,0.423629,0.42792
r2,0.09742505419001268,0.42356,0.423587,0.427359
r2,0.0978332174553188,0.423516,0.423544,0.4268
r2,0.09824138072062492,0.423473,0.4235,0.426244
r2,0.09864954398593104,0.423428,0.423456,0.425691
r2,0.09905770725123716,0.423383,0.423412,0.425139
r2,0.09946587051654329,0.423338,0.423367,0.42459
r2,0.0998740337818494,0.423292,0.423322,0.424043
r2,0.10028219704715553,0.423245,0.423275,0.423501
r2,0.10069036031246165,0.422965,0.423197,0.423227
r2,0.10109852357776777,0.422433,0.423148,0.423179
r2,0.1015066868430739,0.421905,0.423099,0.423129
r2,0.10191485010838003,0.42138,0.423048,0.423078
r2,0.10232301337368614,0.420859,0.422998,0.423027
r2,0.10273117663899227,0.42034,0.422946,0.422975
r2,0.10313933990429838,0.419825,0.422894,0.422922
r2,0.10354750316960451,0.419312,0.42284,0.422868
r2,0.10395566643491064,0.418803,0.422787,0.422814
r2,0.10436382970021675,0.418296,0.422732,0.422759
r2,0.10477199296552288,0.417791,0.422677,0.422703
r2,0.10518015623082899,0.41729,0.422621,0.422647
r2,0.10558831949613512,0.41679,0.422565,0.42259
r2,0.10599648276144125,0.416294,0.422508,0.422532
r2,0.10640464602674736,0.415799,0.42245,0.422473
r2,0.10681280929205349,0.415314,0.422391,0.422414
r2,0.10722097255735961,0.414821,0.422332,0.422355
r2,0.10762913582266573,0.414336,0.422272,0.422294
r2,0.10803729908797186,0.413854,0.422211,0.422233
r2,0.10844546235327798,0.413374,0.42215,0.422172
r2,0.1088536256185841,0.412898,0.422088,0.42211
r2,0.10926178888389022,0.412424,0.422025,0.422047
r2,0.10966995214919634,0.411952,0.421961,0.421983
r2,0.11007811541450246,0.411482,0.421897,0.421919
r2,0.11048627867980859,0.411015,0.421832,0.421855
r2,0.11089444194511472,0.410551,0.421766,0.42179
r2,0.11130260521042083,0.410088,0.4217,0.421724
