param_name,param_value,band_4,band_6
r2,0.3649634428644732,0.716971,0.732396
r2,0.365063945377036,0.717243,0.732482
r2,0.36516444788959884,0.717516,0.732567
r2,0.3652649504021616,0.717787,0.732652
r2,0.36536545291472444,0.718059,0.732737
r2,0.36546595542728727,0.718333,0.732822
r2,0.3655664579398501,0.718604,0.732906
r2,0.36566696045241287,0.718878,0.732991
r2,0.3657674629649757,0.719151,0.733075
r2,0.3658679654775385,0.719425,0.73316
r2,0.36596846799010135,0.719698,0.733244
r2,0.3660689705026641,0.719972,0.733329
r2,0.36616947301522695,0.720247,0.733413
r2,0.3662699755277898,0.720522,0.733498
r2,0.3663704780403526,0.720798,0.733583
r2,0.3664709805529154,0.721073,0.733666
r2,0.3665714830654782,0.721349,0.733751
r2,0.36667198557804104,0.721627,0.733835
r2,0.36677248809060387,0.721904,0.733919
r2,0.36687299060316664,0.722182,0.734004
r2,0.36697349311572947,0.72246,0.734088
r2,0.3670739956282923,0.722738,0.734173
r2,0.3671744981408551,0.723017,0.734257
r2,0.3672750006534179,0.723295,0.734343
r2,0.3673755031659807,0.723573,0.734429
r2,0.36747600567854355,0.723849,0.734516
r2,0.3675765081911064,0.724132,0.734603
r2,0.36767701070366915,0.724408,0.734691
r2,0.367777513216232,0.724687,0.734779
r2,0.3678780157287948,0.724968,0.734868
r2,0.36797851824135763,0.725249,0.734956
r2,0.3680790207539204,0.725531,0.735045
r2,0.36817952326648323,0.725813,0.735134
r2,0.36828002577904606,0.726096,0.735223
r2,0.3683805282916089,0.72638,0.735311
r2,0.36848103080417166,0.726664,0.735401
r2,0.3685815333167345,0.726948,0.73549
r2,0.3686820358292973,0.727233,0.735579
r2,0.36878253834186014,0.727518,0.735668
r2,0.3688830408544229,0.727806,0.735758
r2,0.36898354336698574,0.728089,0.735847
r2,0.3690840458795486,0.728374,0.735936
r2,0.3691845483921114,0.728662,0.736025
r2,0.3692850509046742,0.72895,0.736115
r2,0.369385553417237,0.729238,0.736203
r2,0.36948605592979983,0.729528,0.736293
r2,0.36958655844236266,0.729818,0.736382
r2,0.36968706095492543,0.730109,0.736471
r2,0.36978756346748826,0.7304,0.73656
r2,0.3698880659800511,0.730692,0.736648
r2,0.3699885684926139,0.730983,0.736737
r2,0.3700890710051767,0.731277,0.736826
r2,0.3701895735177395,0.731571,0.736915
r2,0.37029007603030234,0.73186,0.737003
r2,0.37039057854286517,0.732159,0.737091
r2,0.37049108105542794,0.732453,0.73718
r2,0.37059158356799077,0.732748,0.737268
r2,0.3706920860805536,0.733042,0.737356
r2,0.3707925885931164,0.73334,0.737445
r2,0.3708930911056792,0.733636,0.737533
r2,0.370993593618242,0.733932,0.737621
r2,0.37109409613080485,0.73423,0.737709
r2,0.3711945986433677,0.734529,0.737797
r2,0.37129510115593045,0.734829,0.737885
r2,0.3713956036684933,0.735129,0.737973
r2,0.3714961061810561,0.73543,0.738061
r2,0.37159660869361893,0.735732,0.738148
r2,0.37169711120618176,0.736038,0.738237
