param_name,param_value,band_4,band_6
r2,0.27959105930775996,0.541943,0.543969
r2,0.2796915618203228,0.54204,0.544052
r2,0.2797920643328856,0.542139,0.544137
r2,0.2798925668454484,0.542236,0.54422
r2,0.2799930693580112,0.542335,0.544305
r2,0.28009357187057404,0.542433,0.544389
r2,0.28019407438313687,0.54253,0.544474
r2,0.28029457689569964,0.542628,0.544558
r2,0.28039507940826247,0.542725,0.544643
r2,0.2804955819208253,0.542823,0.544728
r2,0.2805960844333881,0.54292,0.544812
r2,0.2806965869459509,0.543018,0.544897
r2,0.2807970894585137,0.543115,0.544982
r2,0.28089759197107655,0.543211,0.545066
r2,0.2809980944836394,0.543309,0.545151
r2,0.28109859699620215,0.543406,0.545236
r2,0.281199099508765,0.543502,0.545321
r2,0.2812996020213278,0.543599,0.545406
r2,0.28140010453389064,0.543695,0.545491
r2,0.2815006070464534,0.543791,0.545576
r2,0.28160110955901624,0.543887,0.545661
r2,0.28170161207157907,0.543983,0.545746
r2,0.2818021145841419,0.544079,0.545831
r2,0.28190261709670467,0.544175,0.545916
r2,0.2820031196092675,0.54427,0.546001
r2,0.2821036221218303,0.544366,0.546086
r2,0.28220412463439315,0.544461,0.546171
r2,0.2823046271469559,0.544557,0.546257
r2,0.28240512965951875,0.544651,0.546342
r2,0.2825056321720816,0.544747,0.546427
r2,0.2826061346846444,0.544842,0.546513
r2,0.2827066371972072,0.544937,0.546598
r2,0.28280713970977,0.545033,0.546684
r2,0.28290764222233283,0.545127,0.54677
r2,0.28300814473489566,0.545223,0.546856
r2,0.28310864724745843,0.545318,0.546943
r2,0.28320914976002126,0.545413,0.547029
r2,0.2833096522725841,0.545508,0.547115
r2,0.2834101547851469,0.545603,0.547202
r2,0.2835106572977097,0.545698,0.547289
r2,0.2836111598102725,0.545794,0.547376
r2,0.28371166232283535,0.545889,0.547463
r2,0.2838121648353982,0.545985,0.54755
r2,0.28391266734796095,0.54608,0.547638
r2,0.2840131698605238,0.546176,0.547725
r2,0.2841136723730866,0.546271,0.547813
r2,0.28421417488564943,0.546366,0.5479
r2,0.2843146773982122,0.546463,0.547988
r2,0.28441517991077503,0.546559,0.548076
r2,0.28451568242333786,0.546655,0.548164
r2,0.2846161849359007,0.546751,0.548253
r2,0.28471668744846346,0.546847,0.548341
r2,0.2848171899610263,0.546942,0.548429
r2,0.2849176924735891,0.54704,0.548518
r2,0.28501819498615194,0.547136,0.548606
r2,0.2851186974987147,0.547232,0.548695
r2,0.28521920001127754,0.547329,0.548784
r2,0.28531970252384037,0.547425,0.548873
r2,0.2854202050364032,0.547521,0.548961
r2,0.28552070754896597,0.547618,0.54905
r2,0.2856212100615288,0.547715,0.549139
r2,0.2857217125740916,0.547811,0.549228
r2,0.28582221508665445,0.547908,0.549317
r2,0.2859227175992172,0.548004,0.549406
r2,0.28602322011178005,0.548101,0.549496
r2,0.2861237226243429,0.548197,0.549585
r2,0.2862242251369057,0.548294,0.549675
r2,0.2863247276494685,0.548391,0.549764
r2,0.2864252301620313,0.548487,0.549854
r2,0.28652573267459414,0.548584,0.549943
r2,0.28662623518715696,0.548681,0.550033
r2,0.2867267376997198,0.548778,0.550123
r2,0.28682724021228256,0.548875,0.550213
r2,0.2869277427248454,0.548972,0.550303
r2,0.2870282452374082,0.549069,0.550394
r2,0.28712874774997105,0.549166,0.550484
r2,0.2872292502625338,0.549264,0.550575
r2,0.28732975277509665,0.549362,0.550666
r2,0.2874302552876595,0.549458,0.550755
r2,0.2875307578002223,0.549556,0.550848
r2,0.2876312603127851,0.549654,0.550939
r2,0.2877317628253479,0.549751,0.551031
r2,0.28783226533791073,0.549849,0.551122
r2,0.28793276785047356,0.549947,0.551214
r2,0.28803327036303633,0.550044,0.551306
r2,0.28813377287559916,0.550141,0.551398
r2,0.288234275388162,0.550239,0.55149
r2,0.2883347779007248,0.550336,0.551582
r2,0.2884352804132876,0.550433,0.551674
r2,0.2885357829258504,0.550532,0.551767
r2,0.28863628543841324,0.550629,0.551859
r2,0.28873678795097607,0.550727,0.551952
r2,0.28883729046353884,0.550824,0.552045
r2,0.28893779297610167,0.550921,0.552137
r2,0.2890382954886645,0.551019,0.55223
r2,0.2891387980012273,0.551116,0.552321
r2,0.2892393005137901,0.551215,0.552415
r2,0.2893398030263529,0.551312,0.552508
r2,0.28944030553891575,0.551412,0.552601
r2,0.2895408080514786,0.551511,0.552693
r2,0.28964131056404135,0.551611,0.552787
r2,0.2897418130766042,0.55171,0.552879
r2,0.289842315589167,0.551809,0.552972
r2,0.28994281810172984,0.551909,0.553065
r2,0.2900433206142926,0.552007,0.553158
r2,0.29014382312685544,0.552108,0.553251
r2,0.29024432563941827,0.552207,0.553345
r2,0.2903448281519811,0.552307,0.553439
r2,0.29044533066454387,0.552406,0.553533
r2,0.2905458331771067,0.552507,0.553628
r2,0.2906463356896695,0.552606,0.553722
r2,0.29074683820223235,0.552707,0.553816
r2,0.2908473407147951,0.552806,0.553911
r2,0.29094784322735795,0.552907,0.554005
r2,0.2910483457399208,0.553007,0.5541
r2,0.2911488482524836,0.553107,0.554195
r2,0.2912493507650464,0.553208,0.554291
r2,0.2913498532776092,0.553308,0.554386
r2,0.29145035579017203,0.553408,0.55448
r2,0.29155085830273486,0.553509,0.554576
r2,0.29165136081529763,0.55361,0.554672
r2,0.29175186332786046,0.553711,0.554768
r2,0.2918523658404233,0.553812,0.554864
r2,0.2919528683529861,0.553913,0.554961
r2,0.2920533708655489,0.554014,0.555058
r2,0.2921538733781117,0.554115,0.555155
r2,0.29225437589067454,0.554216,0.555253
