,freq,T_total,T_zeroth,n_points,n_m0,n_eff,m,eps_real,eps_imag,mu_real,mu_imag
0,0.659,0.6250375608740867,0.36608304114077966,-0.11620574765287195,-0.005607544579140465,-0.14355760665666842,-1,-1.4614393166655666,-0.35201093303411657,-0.012961939643632394,0.004576300660481816
1,0.6595050505050505,0.5739402111997508,0.33625187406152873,-0.10776245679800275,0.0067465143026938295,-0.13109790529571944,-1,-0.379331276934937,-0.6984116027021973,-0.006047776681434793,0.021030022343456814
2,0.660010101010101,0.4826076129224237,0.28212030019435247,-0.09887863874304086,0.011363173060368482,-0.1263757657376297,-1,-0.21954623508869392,-0.42346870730674163,-0.004776075236871793,0.0341317528413457
3,0.6605151515151515,0.39080221573163393,0.22729959780260972,-0.09115684102560967,0.01170982329865115,-0.12592379600675788,-1,-0.13585745428823226,-0.2770367340240669,-0.0026430242590007266,0.05350889373236305
4,0.6610202020202021,0.31810801916474796,0.18349869789469017,-0.08520112948192421,0.009724154315703453,-0.12780430643520194,-1,-0.0786210151510606,-0.16205272977695157,-0.006655655685979881,0.09381917434295906
5,0.6615252525252525,0.26704603760727286,0.15229812919887212,-0.0807226462937241,0.010191462601883295,-0.12723200016399294,-1,-0.04713529649911189,-0.047700563883242744,-0.13533575732602646,0.20254092527287051
6,0.6620303030303031,0.2341858487649969,0.13168474816767584,-0.07725315504071281,0.03313073694393851,-0.10418788803889667,-1,-0.06449247150103865,0.008500602522503039,-0.166708084245352,-0.01078964322355471
7,0.6625353535353535,0.21579802137522833,0.11940389115778703,-0.0744206327214981,0.05356144345603349,-0.08365250357938296,-1,-0.021017765582019857,0.05114823043823916,-0.09255382934575264,-0.09341962544844783
8,0.6630404040404041,0.20955093259037508,0.11397770758174637,-0.07195784519829476,0.05329644928463877,-0.08381297927373176,-1,0.016978990112597677,0.12882091740027443,-0.03315153208799192,-0.051582392992829275
9,0.6635454545454545,0.2148902387483213,0.11491117059763356,-0.06965777294394829,0.04957190119313639,-0.08743316799442355,-1,0.04678173958001683,0.22843073717138734,-0.020222851897549302,-0.03223203417043462
10,0.6640505050505051,0.2332707203262035,0.12277037779620963,-0.06733243217528773,0.04617392190612037,-0.09072694665383457,-1,0.055167049699365055,0.37307209040754247,-0.013126443958774329,-0.021018483458762945
