,freq,T_total,T_zeroth,n_m0,n_dd,m,eps_real,eps_imag,mu_real,mu_imag
0,0.5015,0.13004374333388002,0.06712851086445747,0.17328095084703324,-1.8207369953144823,-1,-5.281628407898103,10.541910425668803,-0.24197133736696597,-0.17421333892572297
1,0.50155005005005,0.13077583216871042,0.06735799644885579,0.17397865590382322,-1.8198403057336232,-1,-5.373408300198821,10.611162815809106,-0.239931030288647,-0.1718839770749204
2,0.5016001001001,0.13151100495243498,0.06758763651049693,0.17469696889171812,-1.8189230479313219,-1,-5.467734866184043,10.680296877639586,-0.23790856550509218,-0.1695503014561488
3,0.5016501501501501,0.13224925440653934,0.06781742004747479,0.17543657757909797,-1.8179845341273124,-1,-5.5646773616527465,10.749257908879827,-0.2359040010508632,-0.16721234392604267
4,0.5017002002002001,0.13299057289569005,0.06804733591688894,0.17619819025839792,-1.8170240560172795,-1,-5.6643062047914485,10.81798706347225,-0.23391740142449982,-0.164870138575542
5,0.5017502502502502,0.1337349524239043,0.06827737283562192,0.17698253630472408,-1.81604088421424,-1,-5.766692879054744,10.886421095585229,-0.23194883773092978,-0.16252372206431853
6,0.5018003003003002,0.13448238462716236,0.06850751937834743,0.17779036672099705,-1.815034267703403,-1,-5.871909818047336,10.954492092453169,-0.22999838781320303,-0.16017313397194932
7,0.5018503503503503,0.13523286076708813,0.06873776397639735,0.17862245467298352,-1.8140034333071344,-1,-5.980030270073394,11.022127195788002,-0.22806613637988005,-0.1578184171749793
8,0.5019004004004003,0.13598637172486017,0.06896809491712919,0.17947959601153476,-1.8129475851627215,-1,-6.09112814027803,11.089248311958894,-0.2261521751292376,-0.1554596182483011
9,0.5019504504504504,0.1367429079955718,0.0691985003428825,0.18036260977453938,-1.8118659042204175,-1,-6.205277807941475,11.155771811708162,-0.2242566028633516,-0.15309678789329045
10,0.5020005005005005,0.13750245968137387,0.06942896825003578,0.18127233866122916,-1.8107575477691389,-1,-6.3225539164482125,11.221608220067857,-0.22237952559170832,-0.15072998139362312
11,0.5020505505505505,0.13826501648586714,0.06965948648814062,0.18220964947894372,-1.809621648989699,-1,-6.4430311331978345,11.286661897273051,-0.22052105662459623,-0.14835925909946673
12,0.5021006006006006,0.13903056770797617,0.06989004275937133,0.183175433549969,-1.808457316547968,-1,-6.566783876539047,11.350830712087745,-0.21868131665124046,-0.14598468694299696
13,0.5021506506506506,0.13979910223601563,0.07012062461745608,0.1841706070733417,-1.8072636342330712,-1,-6.693886006661568,11.414005709114539,-0.21686043380026074,-0.14360633698600722
14,0.5022007007007007,0.14057060854197967,0.07035121946741012,0.18519611143331596,-1.8060396606489209,-1,-6.824410477289749,11.47607077191403,-0.21505854368167598,-0.1412242880006236
15,0.5022507507507507,0.14134507467534269,0.07058181456447936,0.18625291344379225,-1.8047844289697879,-1,-6.958428944846812,11.536902284584736,-0.21327578940279937,-0.13883862608379713
16,0.5023008008008008,0.1421224882579597,0.07081239701406972,0.1873420055208671,-1.8034969467677509,-1,-7.0960113315294295,11.596368794314236,-0.21151232156091518,-0.13644944530899417
17,0.5023508508508508,0.14290283647774357,0.07104295377082734,0.18846440576927054,-1.802176195926261,-1,-7.237225338955368,11.654330678775944,-0.20976829820092693,-0.1340568484127055
18,0.5024009009009008,0.1436861060834556,0.07127347163854056,0.18962115797258006,-1.8008211326499266,-1,-7.3821359087498415,11.71063982201469,-0.20804388474057353,-0.1316609475184465
19,0.5024509509509509,0.1444722833794575,0.07150393726951781,0.19081333147259968,-1.7994306875851325,-1,-7.530804626455662,11.765139303885453,-0.20633925385279728,-0.1292618649000734
20,0.5025010010010009,0.1452613542191406,0.07173433716446471,0.19204202092379055,-1.7980037660656132,-1,-7.683289065762743,11.817663108169997,-0.2046545853052215,-0.12685973377849266
21,0.502551051051051,0.14605330400158384,0.07196465767208347,0.1933083459061952,-1.7965392484995246,-1,-7.839642069136676,11.868035856123603,-0.2029900657443863,-0.12445469916276282
22,0.502601101101101,0.1468481176644143,0.07219488498905906,0.19461345038069897,-1.7950359909141869,-1,-7.999910962938416,11.916072572013967,-0.20134588842679144,-0.12204691871920058
23,0.5026511511511511,0.14764577967973172,0.07242500515948119,0.1959585019671971,-1.793492825677912,-1,-8.16413670366119,11.961578489335578,-0.19972225288205747,-0.11963656368144102
24,0.5027012012012011,0.14844627404860927,0.07265500407567119,0.19734469102845212,-1.7919085624161522,-1,-8.332352953896635,12.004348906261068,-0.1981193645079047,-0.1172238197915745
25,0.5027512512512512,0.1492495842964609,0.07288486747723305,0.1987732295359981,-1.7902819891455912,-1,-8.50458508680659,12.044169100845796,-0.19653743408390537,-0.11480888827094725
26,0.5028013013013013,0.15005569346794925,0.0731145809516616,0.20024534970042315,-1.7886118736438632,-1,-8.680849118841845,12.080814316714521,-0.1949766772009713,-0.11239198681804599
27,0.5028513513513513,0.15086458412236897,0.07334412993425937,0.20176230234129136,-1.786896965079633,-1,-8.861150571785082,12.114049831600786,-0.1934373135953618,-0.10997335062745546
28,0.5029014014014014,0.1516762383289366,0.07357349970842152,0.2033253549753357,-1.7851359959243982,-1,-9.04548326652949,12.143631121698169,-0.19191956638050978,-0.10755323342393865
29,0.5029514514514514,0.1524906376622818,0.07380267540590164,0.20493578959979403,-1.7833276841691597,-1,-9.23382805254286,12.16930413587183,-0.1904236611679386,-0.1051319085062492
30,0.5030015015015015,0.15330776319799425,0.07403164200696848,0.20659490014846085,-1.7814707358683635,-1,-9.426151479222876,12.190805694464816,-0.18894982506864594,-0.10270966978999993
31,0.5030515515515515,0.1541275955083948,0.0742603843409419,0.20830398959772103,-1.779563848033871,-1,-9.622404417406917,12.207864027990158,-0.18749828556742187,-0.10028683284039144
32,0.5031016016016016,0.15495011465813402,0.07448888708663826,0.2100643667026268,-1.7776057118988815,-1,-9.822520641861637,12.220199471335011,-0.18606926926274675,-0.09786373588328069
33,0.5031516516516515,0.15577530020020744,0.07471713477275631,0.2118773423417981,-1.7755950165730305,-1,-10.026415388544867,12.227525329286046,-0.1846630004630354,-0.09544074078118878
34,0.5032017017017016,0.15660313117237093,0.07494511177851601,0.2137442254561959,-1.7735304531036171,-1,-10.233983903422535,12.2295489283569,-0.18327969963649043,-0.09301823395901312
35,0.5032517517517517,0.1574335860922483,0.07517280233437447,0.21566631856661508,-1.7714107189581114,-1,-10.44510000319751,12.225972869432933,-0.18191958170674796,-0.09059662726158897
36,0.5033018018018017,0.15826664295465195,0.07540019052255457,0.2176449128600116,-1.7692345229378281,-1,-10.659614671501753,12.21649649409582,-0.18058285419177048,-0.08817635872668729
37,0.5033518518518518,0.1591022792273889,0.07562726027795351,0.21968128284130573,-1.7670005905261201,-1,-10.877354718187513,12.200817575113623,-0.17926971518555485,-0.08575789324966514
38,0.5034019019019018,0.15994047184795424,0.07585399538890392,0.22177668054969465,-1.7647076696720703,-1,-11.098121532582912,12.178634239101967,-0.17798035118149047,-0.08334172312035266
39,0.5034519519519519,0.16078119721996256,0.07608037949799476,0.2239323293500838,-1.7623545369990554,-1,-11.321689965303362,12.149647125153894,-0.17671493474258,-0.08092836840672436
40,0.5035020020020019,0.16162443121014755,0.07630639610325697,0.2261494173142921,-1.7599400044235465,-1,-11.547807376230905,12.113561778884705,-0.17547362202456604,-0.07851837716178542
41,0.503552052052052,0.16247014914492472,0.07653202855886973,0.22842909021849409,-1.7574629261576606,-1,-11.776192889189883,12.070091275707101,-0.17425655016113364,-0.07611232542594862
42,0.5036021021021021,0.16331832580766079,0.07675726007648667,0.2307724441931967,-1.7549222060591894,-1,-12.00653689523047,12.018959060582164,-0.17306383452796903,-0.07371081700213435
43,0.5036521521521521,0.16416893543554087,0.07698207372625993,0.23318051807100834,-1.7523168052838267,-1,-12.238500848232373,11.959901984434964,-0.17189556590089158,-0.07131448297394118
44,0.5037022022022022,0.16502195171705114,0.07720645243799773,0.23565428549242248,-1.7496457501793852,-1,-12.471717395547856,11.892673509178893,-0.17075180753340757,-0.06892398094434332
45,0.5037522522522522,0.1658773477890987,0.07743037900280575,0.23819464683914138,-1.746908140352475,-1,-12.705790885112707,11.817047044881898,-0.1696325921809538,-0.06653999397121077
46,0.5038023023023023,0.16673509623476315,0.07765383607368553,0.24080242107712874,-1.7441031568254481,-1,-12.94029828726183,11.732819373897872,-0.1685379191022304,-0.06416322917749645
