frequency,n_eff_real_nrw,n_eff_imag_nrw,n_eff_real_dft,Z_eff_real,Z_eff_imag,eps_eff_real,eps_eff_imag,mu_eff_real,mu_eff_imag,S11_real,S11_imag,S21_real,S21_imag,branch_m
0.04999999999999999,-0.33875558919524706,0.010819642612196886,2.1247710873330554,0.46713204952066023,-0.01481182041387104,-0.7251869624266739,0.00016762617408224453,-0.15808333406404046,0.010071788779871674,-0.2305383507359558,-0.3114567996269783,0.721945468186665,-0.5576853525275338,0.0
0.058080808080808066,0.0027448984492576918,0.38499179687844287,2.305560531294148,0.013360799094517177,1.427876670445724,0.26961976598806314,0.0006004979938161595,-0.549684131038992,0.009063174509567744,0.13218907041896957,-0.6200865344055467,0.7631195462155561,0.17184994951421603,0.0
0.06616161616161614,0.3246047168324295,0.001165677563119122,2.1952784836164256,3.3134985258810525,0.012612740593679735,0.09796426591027035,-2.1101657269875804e-05,1.075562548329572,0.007956625975940127,0.5629665033838476,-0.38597510110011785,0.41485556663047485,0.5953402025921171,0.0
0.07424242424242423,-0.758497292708332,0.0019148493505368172,2.041935126192996,2.0290846718842626,-0.008116304380755099,-0.3738103327085582,-0.0005515339531681246,-1.539039688800015,0.010041586365741309,0.5963417611968813,0.09283302949174844,-0.12775499785475652,0.7911401227916929,0.0
0.08232323232323231,-1.3685064953223538,0.0014962590906337778,1.9400477464210892,2.092141024204485,0.020134701021881557,-0.654050248269986,0.007009740320164939,-2.8631387074836407,-0.02442408410346472,0.14002319295639978,0.2628464127571165,-0.837929425623528,0.45297577405198824,-1.0
0.09040404040404039,-1.3026316445182486,0.00020522831193618024,1.951471075406787,1.5225662749052626,0.003018490066252697,-0.8555464148882729,0.0018309131841686146,-1.983343630047487,-0.0036195069725549825,0.12640827378656969,-0.1843058362211535,-0.8062448866427554,-0.5481765405415133,-1.0
0.09848484848484848,-0.5148351162918587,0.0001259588615508628,2.197809969564169,1.928262486448937,0.0015987330703922955,-0.2669940744951287,0.00028668872725054093,-0.9927374428267647,-0.0005802021786507137,0.575743373280424,-0.009844554780021943,-0.015153538570382588,-0.817031041614729,0.0
0.10656565656565656,-0.09705795222777955,0.0002172165555500584,2.30638790097028,6.063945822203725,0.008756464780309252,-0.016005656881582453,5.893349591132666e-05,-0.5885560659724108,0.0004673048842097706,0.49614417588123594,0.4725686708138784,0.5021948353602973,-0.5265795126629169,0.0
0.11464646464646464,-0.0002963142568857225,0.21721814187023278,2.247683087294289,0.0007508764296607599,-1.116870746498276,-0.1944882553182479,-0.0001345523737572781,0.242604365768184,0.0004940487081111036,0.04680958937053969,0.6550020180156514,0.7528364997233484,-0.05509216393250846,0.0
0.12272727272727271,0.16817447157031917,0.00018956295016579514,2.16150940275922,0.46994360800139007,0.00048082222485169016,0.35786099993139464,3.7228781694759544e-05,0.07903242679740355,0.00016994592032799964,-0.3137235000138707,0.3190854607781372,0.6369515908819332,0.6270485754436641,0.0
