frequency,n_eff_real_nrw,n_eff_imag_nrw,n_eff_real_dft,Z_eff_real,Z_eff_imag,eps_eff_real,eps_eff_imag,mu_eff_real,mu_eff_imag,S11_real,S11_imag,S21_real,S21_imag,branch_m
0.6,0.07366339984327586,0.22949698577727337,0.08594762582396173,2.821220507211103e-05,-0.5131639789872914,-0.4472116997482547,0.1435720738171383,0.11777166459399811,-0.037794928753281075,-0.5831345599937667,0.8124305502866119,-0.00010281883060989413,-6.10385597896413e-05,0.0
0.6020408163265306,0.07465863460806277,0.22064121289155217,0.08349867176137893,1.0361713472151598e-05,-0.4313325979950582,-0.511529664806783,0.17310060792747556,0.09517052117267395,-0.032200416607231344,-0.6862846394711524,0.7273570757966155,-0.0001125029996579379,-9.893723795982607e-05,0.0
0.6040816326530613,0.07524195025726194,0.21060735414816859,0.08590091754225397,1.8633042715392508e-06,-0.35540838090025906,-0.5925773588594839,0.21170872284607697,0.07485175894213537,-0.026741227291128693,-0.7757045325122353,0.6311014648163671,-0.00012092500748798224,-0.00014858603032781296,0.0
0.6061224489795918,0.07563202949520453,0.19694122024345154,0.0854208518634776,2.0580728336645116e-06,0.2837996591016769,0.6939464597268693,-0.26649292512275913,-0.05589169551193456,0.021464749507282232,-0.8509192367838868,0.5252892205099285,-0.00013782892555577227,-0.0002372630621001408,1.0
0.6081632653061224,0.07514791201533168,0.17867382827471173,0.08472490248664433,2.3592449661047416e-06,0.2151846484373491,0.830331779979004,-0.34921614346080204,-0.038447687629915996,0.01617109856314992,-0.9114852702005433,0.4113215233622301,-0.00017819327459625428,-0.0004136039880813573,1.0
0.610204081632653,0.07449775489025015,0.15457977436682058,0.08458594575490762,1.5856215065698069e-06,0.14831789541630813,1.0422246779331963,-0.502273188999114,-0.02292682868277226,0.011049595323576597,-0.9569469426497269,0.29025094582982736,-0.0002482425085682702,-0.0008192907008517663,1.0
0.6122448979591837,0.07424146730804422,0.12069766046960564,0.08460651242314703,1.728687796277635e-06,-0.08168749940450541,-1.4775343863148642,0.9088786172295482,0.00985961840805462,-0.0060643911679427774,-0.9867423486497976,0.16230386859924434,-0.0003188783090158231,-0.0019384146696747914,0.0
0.6142857142857143,0.07402264313512096,0.04855907410305444,0.08466644139350121,2.0491267741096937e-06,-0.011949618398032082,-4.062588244842599,6.195257909295029,0.0005804140870732011,-0.000884442834579534,-0.9996823105623278,0.024681621173243348,-0.00014422370399757718,-0.006179558197015529,1.0
0.6163265306122448,0.14753669123770527,0.04357837364474375,0.08526589975570432,1.3099582930131036e-05,0.07740738018467287,0.5632969336593029,-1.9058817380312296,-0.0033713550674263023,0.011420999608345266,-0.9856969503833087,-0.1612000777027581,0.00801444586272709,-0.04857717496946234,1.0
0.6183673469387755,0.22055410998002742,0.03655719291119981,0.16472417120221977,2.672061875089494e-05,0.0948502683418722,0.3860750607935081,-2.3251783855856356,-0.003461566215166171,0.020920593346322777,-0.9755463567157244,-0.20390073061485564,-0.016909462388880418,0.08041219838354734,2.0
